Temperature (C),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),
101.25,0.1,0.032614,30.662,45.185,48.251,132.74,27.917,37.311,473.17,65.405,12.282,0.024668,
101.5,0.1,0.03259,30.684,45.192,48.261,132.76,27.903,37.292,473.35,65.165,12.291,0.024689,
101.75,0.1,0.032567,30.706,45.199,48.27,132.79,27.89,37.274,473.52,64.927,12.301,0.024709,
102,0.1,0.032543,30.728,45.206,48.279,132.81,27.878,37.255,473.7,64.691,12.311,0.02473,
102.25,0.1,0.03252,30.75,45.214,48.289,132.84,27.865,37.237,473.88,64.456,12.32,0.024751,
102.5,0.1,0.032497,30.773,45.221,48.298,132.86,27.853,37.219,474.05,64.224,12.33,0.024772,
102.75,0.1,0.032473,30.795,45.228,48.307,132.89,27.84,37.202,474.23,63.994,12.34,0.024792,
103,0.1,0.03245,30.817,45.235,48.317,132.91,27.828,37.184,474.4,63.765,12.349,0.024813,
103.25,0.1,0.032427,30.839,45.242,48.326,132.93,27.816,37.167,474.58,63.538,12.359,0.024834,
103.5,0.1,0.032404,30.861,45.249,48.335,132.96,27.805,37.15,474.75,63.313,12.369,0.024855,
103.75,0.1,0.032381,30.883,45.256,48.344,132.98,27.793,37.133,474.93,63.09,12.378,0.024875,
104,0.1,0.032357,30.905,45.263,48.354,133.01,27.782,37.117,475.1,62.868,12.388,0.024896,
104.25,0.1,0.032334,30.927,45.27,48.363,133.03,27.771,37.101,475.28,62.648,12.398,0.024917,
104.5,0.1,0.032311,30.949,45.277,48.372,133.06,27.76,37.085,475.45,62.429,12.407,0.024938,
104.75,0.1,0.032288,30.971,45.284,48.382,133.08,27.749,37.069,475.63,62.212,12.417,0.024959,
105,0.1,0.032265,30.993,45.291,48.391,133.11,27.738,37.053,475.8,61.997,12.426,0.024979,
